"07459: Befolkning, etter region, år og statistikkvariabel"

"region";"år";"Personer"
"K-3001 Halden";"2017";30790
"K-3002 Moss";"2017";48154
"K-3003 Sarpsborg";"2017";55127
"K-3004 Fredrikstad";"2017";80121
"K-3005 Drammen";"2017";99734
"K-3006 Kongsberg";"2017";27216
"K-3007 Ringerike";"2017";30034
"K-3011 Hvaler";"2017";4517
"K-3012 Aremark";"2017";1398
"K-3013 Marker";"2017";3597
"K-3014 Indre Østfold";"2017";43815
"K-3015 Skiptvet";"2017";3783
"K-3016 Rakkestad";"2017";8173
"K-3017 Råde";"2017";7398
"K-3018 Våler (Viken)";"2017";5335
"K-3019 Vestby";"2017";17188
"K-3020 Nordre Follo";"2017";57686
"K-3021 Ås";"2017";19288
"K-3022 Frogn";"2017";15743
"K-3023 Nesodden";"2017";18869
"K-3024 Bærum";"2017";124008
"K-3025 Asker";"2017";92174
"K-3026 Aurskog-Høland";"2017";16847
"K-3027 Rælingen";"2017";17730
"K-3028 Enebakk";"2017";10927
"K-3029 Lørenskog";"2017";37406
"K-3030 Lillestrøm";"2017";82496
"K-3031 Nittedal";"2017";23213
"K-3032 Gjerdrum";"2017";6546
"K-3033 Ullensaker";"2017";35102
"K-3034 Nes";"2017";21241
"K-3035 Eidsvoll";"2017";24415
"K-3036 Nannestad";"2017";12657
"K-3037 Hurdal";"2017";2910
"K-3038 Hole";"2017";6772
"K-3039 Flå";"2017";1081
"K-3040 Nesbyen";"2017";3357
"K-3041 Gol";"2017";4612
"K-3042 Hemsedal";"2017";2442
"K-3043 Ål";"2017";4719
"K-3044 Hol";"2017";4535
"K-3045 Sigdal";"2017";3502
"K-3046 Krødsherad";"2017";2257
"K-3047 Modum";"2017";13786
"K-3048 Øvre Eiker";"2017";18562
"K-3049 Lier";"2017";25740
"K-3050 Flesberg";"2017";2696
"K-3051 Rollag";"2017";1399
"K-3052 Nore og Uvdal";"2017";2530
"K-3053 Jevnaker";"2017";6696
"K-3054 Lunner";"2017";9080
"K-0301 Oslo";"2017";666759
"K-3401 Kongsvinger";"2017";17857
"K-3403 Hamar";"2017";30598
"K-3405 Lillehammer";"2017";27781
"K-3407 Gjøvik";"2017";30319
"K-3411 Ringsaker";"2017";33842
"K-3412 Løten";"2017";7633
"K-3413 Stange";"2017";20317
"K-3414 Nord-Odal";"2017";5100
"K-3415 Sør-Odal";"2017";7866
"K-3416 Eidskog";"2017";6127
"K-3417 Grue";"2017";4777
"K-3418 Åsnes";"2017";7329
"K-3419 Våler (Innlandet)";"2017";3743
"K-3420 Elverum";"2017";21086
"K-3421 Trysil";"2017";6550
"K-3422 Åmot";"2017";4518
"K-3423 Stor-Elvdal";"2017";2530
"K-3424 Rendalen";"2017";1858
"K-3425 Engerdal";"2017";1274
"K-3426 Tolga";"2017";1620
"K-3427 Tynset";"2017";5584
"K-3428 Alvdal";"2017";2441
"K-3429 Folldal";"2017";1577
"K-3430 Os";"2017";1963
"K-3431 Dovre";"2017";2675
"K-3432 Lesja";"2017";2048
"K-3433 Skjåk";"2017";2202
"K-3434 Lom";"2017";2360
"K-3435 Vågå";"2017";3640
"K-3436 Nord-Fron";"2017";5723
"K-3437 Sel";"2017";5916
"K-3438 Sør-Fron";"2017";3163
"K-3439 Ringebu";"2017";4502
"K-3440 Øyer";"2017";5082
"K-3441 Gausdal";"2017";6204
"K-3442 Østre Toten";"2017";14887
"K-3443 Vestre Toten";"2017";13179
"K-3446 Gran";"2017";13707
"K-3447 Søndre Land";"2017";5717
"K-3448 Nordre Land";"2017";6773
"K-3449 Sør-Aurdal";"2017";3026
"K-3450 Etnedal";"2017";1351
"K-3451 Nord-Aurdal";"2017";6490
"K-3452 Vestre Slidre";"2017";2114
"K-3453 Øystre Slidre";"2017";3248
"K-3454 Vang";"2017";1596
"K-3801 Horten";"2017";27202
"K-3802 Holmestrand";"2017";23533
"K-3803 Tønsberg";"2017";54408
"K-3804 Sandefjord";"2017";62019
"K-3805 Larvik";"2017";46557
"K-3806 Porsgrunn";"2017";36198
"K-3807 Skien";"2017";54316
"K-3808 Notodden";"2017";12757
