"07459: Befolkning, etter region, statistikkvariabel og år"

"region";"Personer 2019"
"K-3001 Halden";31177
"K-3002 Moss";48871
"K-3003 Sarpsborg";55997
"K-3004 Fredrikstad";81772
"K-3005 Drammen";100581
"K-3006 Kongsberg";27481
"K-3007 Ringerike";30442
"K-3011 Hvaler";4599
"K-3012 Aremark";1357
"K-3013 Marker";3592
"K-3014 Indre Østfold";44320
"K-3015 Skiptvet";3797
"K-3016 Rakkestad";8230
"K-3017 Råde";7542
"K-3018 Våler (Viken)";5593
"K-3019 Vestby";17824
"K-3020 Nordre Follo";58237
"K-3021 Ås";20335
"K-3022 Frogn";15761
"K-3023 Nesodden";19488
"K-3024 Bærum";126841
"K-3025 Asker";93679
"K-3026 Aurskog-Høland";17173
"K-3027 Rælingen";18161
"K-3028 Enebakk";11026
"K-3029 Lørenskog";40106
"K-3030 Lillestrøm";85757
"K-3031 Nittedal";24089
"K-3032 Gjerdrum";6823
"K-3033 Ullensaker";38234
"K-3034 Nes";21885
"K-3035 Eidsvoll";24919
"K-3036 Nannestad";13682
"K-3037 Hurdal";2864
"K-3038 Hole";6845
"K-3039 Flå";1052
"K-3040 Nesbyen";3315
"K-3041 Gol";4576
"K-3042 Hemsedal";2481
"K-3043 Ål";4671
"K-3044 Hol";4473
"K-3045 Sigdal";3490
"K-3046 Krødsherad";2239
"K-3047 Modum";13980
"K-3048 Øvre Eiker";19117
"K-3049 Lier";26373
"K-3050 Flesberg";2694
"K-3051 Rollag";1419
"K-3052 Nore og Uvdal";2448
"K-3053 Jevnaker";6846
"K-3054 Lunner";9051
"K-0301 Oslo";681071
"K-3401 Kongsvinger";17823
"K-3403 Hamar";31144
"K-3405 Lillehammer";28023
"K-3407 Gjøvik";30676
"K-3411 Ringsaker";34488
"K-3412 Løten";7663
"K-3413 Stange";20916
"K-3414 Nord-Odal";5024
"K-3415 Sør-Odal";7879
"K-3416 Eidskog";6114
"K-3417 Grue";4646
"K-3418 Åsnes";7214
"K-3419 Våler (Innlandet)";3705
"K-3420 Elverum";21191
"K-3421 Trysil";6607
"K-3422 Åmot";4407
"K-3423 Stor-Elvdal";2459
"K-3424 Rendalen";1791
"K-3425 Engerdal";1286
"K-3426 Tolga";1551
"K-3427 Tynset";5591
